#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	refseq_category	taxid	organism_name	ftp_path
GCF_003574215.1	representative genome	297	Hydrogenophilus thermoluteolus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/215/GCF_003574215.1_ASM357421v1
GCF_008692035.1	representative genome	298	Pseudomonas marginalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/692/035/GCF_008692035.1_ASM869203v1
GCF_004342485.1	representative genome	304	Pelomonas saccharophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/342/485/GCF_004342485.1_ASM434248v1
GCF_021117135.1	representative genome	305	Ralstonia solanacearum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/117/135/GCF_021117135.1_ASM2111713v1
GCF_019704535.1	representative genome	316	Stutzerimonas stutzeri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/704/535/GCF_019704535.1_ASM1970453v1
GCF_018394375.1	representative genome	317	Pseudomonas syringae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/394/375/GCF_018394375.1_ASM1839437v1
GCF_902374465.1	representative genome	329	Ralstonia pickettii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/374/465/GCF_902374465.1_MGYG-HGUT-01384
GCF_009931375.1	representative genome	337	Burkholderia glumae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/375/GCF_009931375.1_ASM993137v1
GCF_006539865.1	representative genome	350	Zoogloea ramigera	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/539/865/GCF_006539865.1_ASM653986v1
GCF_002220155.1	representative genome	353	Azotobacter chroococcum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/155/GCF_002220155.1_ASM222015v1
GCF_003667905.1	representative genome	358	Agrobacterium tumefaciens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/905/GCF_003667905.1_ASM366790v1
GCF_018138105.1	representative genome	359	Agrobacterium rhizogenes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/138/105/GCF_018138105.1_ASM1813810v1
GCF_001541345.2	representative genome	373	Agrobacterium vitis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/541/345/GCF_001541345.2_ASM154134v2
GCF_013752735.1	representative genome	375	Bradyrhizobium japonicum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/752/735/GCF_013752735.1_ASM1375273v1
GCF_003148495.1	representative genome	381	Mesorhizobium loti	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/148/495/GCF_003148495.1_ASM314849v1
GCF_004306555.1	representative genome	384	Rhizobium leguminosarum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/306/555/GCF_004306555.1_ASM430655v1
GCF_001664385.1	representative genome	396	Rhizobium phaseoli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/385/GCF_001664385.1_ASM166438v1
GCF_022533465.1	representative genome	410	Methylobacterium organophilum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/533/465/GCF_022533465.1_ASM2253346v1
GCF_003113265.1	representative genome	428	Methylosinus sporium	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/113/265/GCF_003113265.1_ASM311326v1
GCF_014843995.1	representative genome	436	Novacetimonas hansenii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/843/995/GCF_014843995.1_ASM1484399v1
GCF_004346035.1	representative genome	437	Acidomonas methanolica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/346/035/GCF_004346035.1_ASM434603v1
GCF_009914215.1	representative genome	438	Acetobacter pasteurianus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/215/GCF_009914215.1_ASM991421v1
GCF_001753085.1	representative genome	446	Legionella pneumophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/085/GCF_001753085.1_ASM175308v1
GCF_900640135.1	representative genome	447	Legionella bozemanae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/640/135/GCF_900640135.1_Leg_bozemanae_WIGA.v1
GCF_001467615.1	representative genome	448	Legionella erythra	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/615/GCF_001467615.1_ASM146761v1
GCF_000953655.1	representative genome	449	Legionella hackeliae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/655/GCF_000953655.1_LHA
GCF_000953635.1	representative genome	451	Tatlockia micdadei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/635/GCF_000953635.1_LMI
GCF_900637495.1	representative genome	452	Legionella spiritensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/495/GCF_900637495.1_51342_D02
GCF_900461565.1	representative genome	453	Legionella feeleii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/461/565/GCF_900461565.1_34347_C01
GCF_007361795.1	representative genome	454	Legionella israelensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/361/795/GCF_007361795.1_ASM736179v1
GCF_900637635.1	representative genome	456	Legionella jordanis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/635/GCF_900637635.1_52313_A01
GCF_900640015.1	representative genome	458	Legionella rubrilucens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/640/015/GCF_900640015.1_Leg_rubrilucens_WA-270A-C2.v1
GCF_900452835.1	representative genome	460	Legionella steigerwaltii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/452/835/GCF_900452835.1_50592_D01
GCF_900450965.1	representative genome	464	Fluoribacter gormanii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/450/965/GCF_900450965.1_48903_B01
GCF_900460175.1	representative genome	466	Legionella maceachernii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/175/GCF_900460175.1_50592_A01
GCF_008632635.1	representative genome	470	Acinetobacter baumannii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/635/GCF_008632635.1_ASM863263v1
GCF_002055515.1	representative genome	471	Acinetobacter calcoaceticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/515/GCF_002055515.1_ASM205551v1
GCF_025985205.1	representative genome	476	Moraxella bovis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/205/GCF_025985205.1_ASM2598520v1
GCF_900453245.1	representative genome	477	Moraxella lacunata	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/453/245/GCF_900453245.1_48269_E01
GCF_016028775.1	representative genome	478	Moraxella nonliquefaciens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/028/775/GCF_016028775.1_ASM1602877v1
GCF_002080125.1	representative genome	480	Moraxella catarrhalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/080/125/GCF_002080125.1_ASM208012v1
GCF_900475315.1	representative genome	483	Neisseria cinerea	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/315/GCF_900475315.1_43721_G02
GCF_005221285.1	representative genome	484	Neisseria flavescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/285/GCF_005221285.1_ASM522128v1
GCF_013030075.1	representative genome	485	Neisseria gonorrhoeae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/030/075/GCF_013030075.1_ASM1303007v1
GCF_003351565.1	representative genome	486	Neisseria lactamica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/565/GCF_003351565.1_ASM335156v1
GCF_008330805.1	representative genome	487	Neisseria meningitidis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/330/805/GCF_008330805.1_ASM833080v1
GCF_900454435.1	representative genome	488	Neisseria mucosa	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/454/435/GCF_900454435.1_55147_F01
GCF_003495225.1	representative genome	489	Neisseria polysaccharea	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/495/225/GCF_003495225.1_ASM349522v1
GCF_017753665.1	representative genome	490	Neisseria sicca	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/753/665/GCF_017753665.1_ASM1775366v1
GCF_008806995.1	representative genome	492	Neisseria animalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/806/995/GCF_008806995.1_ASM880699v1
GCF_900636765.1	representative genome	493	Neisseria canis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/765/GCF_900636765.1_44503_A02
GCF_900453875.1	representative genome	494	Bergeriella denitrificans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/453/875/GCF_900453875.1_44738_H02
GCF_003351545.1	representative genome	495	Neisseria elongata	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/545/GCF_003351545.1_ASM335154v1
GCF_003148585.1	representative genome	498	Psychrobacter immobilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/148/585/GCF_003148585.1_ASM314858v1
GCF_900451365.1	representative genome	502	Kingella denitrificans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/451/365/GCF_900451365.1_50569_C01
GCF_014054985.1	representative genome	505	Kingella oralis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/054/985/GCF_014054985.1_ASM1405498v1
GCF_000967305.2	representative genome	511	Alcaligenes faecalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/305/GCF_000967305.2_ASM96730v2
GCF_900636925.1	representative genome	518	Bordetella bronchiseptica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/925/GCF_900636925.1_45137_F01
GCF_004008295.1	representative genome	519	Bordetella parapertussis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/008/295/GCF_004008295.1_ASM400829v1
GCF_004008975.1	representative genome	520	Bordetella pertussis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/008/975/GCF_004008975.1_ASM400897v1
GCF_900156265.1	representative genome	526	Acidiphilium rubrum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/156/265/GCF_900156265.1_IMG-taxon_2681812815_annotated_assembly
GCF_015326295.1	representative genome	529	Brucella anthropi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/326/295/GCF_015326295.1_ASM1532629v1
GCF_016890085.1	representative genome	536	Chromobacterium violaceum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/890/085/GCF_016890085.1_ASM1689008v1
GCF_900451195.1	representative genome	537	Iodobacter fluviatilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/451/195/GCF_900451195.1_48853_F02
GCF_900187105.1	representative genome	539	Eikenella corrodens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/105/GCF_900187105.1_50618_F01
GCF_003812345.1	representative genome	546	Citrobacter freundii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/345/GCF_003812345.1_ASM381234v1
GCF_007632255.1	representative genome	548	Klebsiella aerogenes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/632/255/GCF_007632255.1_ASM763225v1
GCF_019048385.1	representative genome	549	Pantoea agglomerans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/048/385/GCF_019048385.1_ASM1904838v1
GCF_023702375.1	representative genome	550	Enterobacter cloacae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/702/375/GCF_023702375.1_ASM2370237v1
GCF_013488025.1	representative genome	554	Pectobacterium carotovorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/488/025/GCF_013488025.1_ASM1348802v1
GCF_020097475.1	representative genome	564	Escherichia fergusonii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/475/GCF_020097475.1_ASM2009747v1
GCF_011068345.1	representative genome	565	Atlantibacter hermannii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/068/345/GCF_011068345.1_ASM1106834v1
GCF_902164725.1	representative genome	566	Pseudescherichia vulneris	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/164/725/GCF_902164725.1_25426_7_251
GCF_011617105.1	representative genome	569	Hafnia alvei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/617/105/GCF_011617105.1_ASM1161710v1
GCF_003812925.1	representative genome	571	Klebsiella oxytoca	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/925/GCF_003812925.1_ASM381292v1
GCF_022637595.1	representative genome	575	Raoultella planticola	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/637/595/GCF_022637595.1_ASM2263759v1
GCF_012029655.1	representative genome	577	Raoultella terrigena	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/029/655/GCF_012029655.1_ASM1202965v1
GCF_026241935.1	representative genome	580	Kluyvera cryocrescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/241/935/GCF_026241935.1_ASM2624193v1
GCF_902387845.1	representative genome	582	Morganella morganii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/387/845/GCF_902387845.1_UHGG_MGYG-HGUT-02512
GCF_000754995.1	representative genome	585	Proteus vulgaris	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/995/GCF_000754995.1_PVA
GCF_003204135.1	representative genome	587	Providencia rettgeri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/204/135/GCF_003204135.1_ASM320413v1
GCF_023547145.1	representative genome	588	Providencia stuartii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/547/145/GCF_023547145.1_ASM2354714v1
GCF_008364325.2	representative genome	614	Serratia liquefaciens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/364/325/GCF_008364325.2_ASM836432v2
GCF_003516165.1	representative genome	615	Serratia marcescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/516/165/GCF_003516165.1_ASM351616v1
GCF_002206385.2	representative genome	618	Serratia odorifera	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/206/385/GCF_002206385.2_ASM220638v2
GCF_002290485.1	representative genome	621	Shigella boydii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/290/485/GCF_002290485.1_ASM229048v1
GCF_022354085.1	representative genome	622	Shigella dysenteriae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/354/085/GCF_022354085.1_ASM2235408v1
GCF_013374815.1	representative genome	624	Shigella sonnei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/374/815/GCF_013374815.1_ASM1337481v1
GCF_014295015.1	representative genome	628	Xenorhabdus nematophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/295/015/GCF_014295015.1_ASM1429501v1
GCF_025758635.1	representative genome	630	Yersinia enterocolitica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/758/635/GCF_025758635.1_ASM2575863v1
GCF_009730055.1	representative genome	631	Yersinia intermedia	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/055/GCF_009730055.1_ASM973005v1
GCF_020531725.1	representative genome	634	Yersinia bercovieri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/531/725/GCF_020531725.1_ASM2053172v1
GCF_002504285.1	representative genome	636	Edwardsiella tarda	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/285/GCF_002504285.1_ASM250428v1
GCF_004768525.1	representative genome	638	Arsenophonus nasoniae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/768/525/GCF_004768525.1_ASM476852v1
GCF_016026875.1	representative genome	644	Aeromonas hydrophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/026/875/GCF_016026875.1_ASM1602687v1
GCF_012931585.1	representative genome	645	Aeromonas salmonicida	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/585/GCF_012931585.1_ASM1293158v1
GCF_000820145.1	representative genome	646	Aeromonas sobria	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/145/GCF_000820145.1_PRJEB7040
GCF_014169735.1	representative genome	648	Aeromonas caviae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/735/GCF_014169735.1_ASM1416973v1
GCF_000819865.1	representative genome	649	Aeromonas eucrenophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/819/865/GCF_000819865.1_PRJEB7029
GCF_016127195.1	representative genome	650	Aeromonas jandaei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/195/GCF_016127195.1_ASM1612719v1
GCF_020423125.1	representative genome	651	Aeromonas media	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/423/125/GCF_020423125.1_ASM2042312v1
GCF_001481395.1	representative genome	652	Aeromonas schubertii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/395/GCF_001481395.1_ASM148139v1
GCF_008693705.1	representative genome	654	Aeromonas veronii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/705/GCF_008693705.1_ASM869370v1
GCF_016026615.1	representative genome	656	Aeromonas allosaccharophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/026/615/GCF_016026615.1_ASM1602661v1
GCF_002954725.1	representative genome	659	Photobacterium phosphoreum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/725/GCF_002954725.1_ASM295472v1
GCF_003026895.1	representative genome	661	Photobacterium angustum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/026/895/GCF_003026895.1_ASM302689v1
GCF_023650915.1	representative genome	663	Vibrio alginolyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/650/915/GCF_023650915.1_ASM2365091v1
GCF_008369605.1	representative genome	666	Vibrio cholerae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/369/605/GCF_008369605.1_ASM836960v1
